project_name,url,category,maturity,license,stack,data_layer_quality,backtest_sim_quality,ui_quality,ai_agent_quality,evidence_reporting_quality,testing_repro_quality,best_idea_to_copy,major_warning,use_in_final_architecture,supporting_receipt_id,score_basis,unsupported_claims
QuantConnect LEAN,https://github.com/QuantConnect/Lean,quant_backtesting,high,Apache-2.0,C#+Python,5,5,2,2,4,5,event-driven engine and deterministic run model,complex setup for local-only lab,yes,R090,"README and engine structure show production-grade backtest/live engine",none
Nautilus Trader,https://github.com/nautechsystems/nautilus_trader,quant_backtesting,high,UNVERIFIED,Rust+Python,4,5,2,2,4,4,deterministic architecture and crash-only philosophy,steep learning curve,yes,R086,"Architecture docs explicitly describe event-driven reliability priorities",none
vectorbt,https://github.com/polakowo/vectorbt,quant_backtesting,high,MIT,Python+NumPy,4,4,3,2,3,4,vectorized strategy sweep workflows,lower market microstructure realism,yes,R007,"Repository app examples and docs indicate vectorized backtesting and dashboards",none
microsoft/qlib,https://github.com/microsoft/qlib,quant_backtesting,high,MIT,Python,5,4,2,4,4,4,research workflow from idea to evaluation,operational complexity,yes,R085,"Qlib README and project docs describe full quant research workflow",none
OpenBB,https://github.com/OpenBB-finance/OpenBB,quant_backtesting,high,UNVERIFIED,Python+FastAPI,5,2,3,3,3,4,provider-router-core layering,license boundaries must be checked,yes,R089,"Architecture article describes layered provider and API model",inferred quality of testing depth
Open Paper Trading MCP,https://github.com/Open-Agent-Tools/open-paper-trading-mcp,quant_backtesting,medium,UNVERIFIED,Python+FastAPI,3,3,2,4,3,3,agent-compatible paper trading API,maturity risk,yes,R003,"Repo existence and stated feature set from opened source",inferred long-term maintenance
Scrooge-McDuck,https://github.com/pdet/Scrooge-McDuck,quant_backtesting,medium,UNVERIFIED,DuckDB+Python,4,2,1,1,2,3,SQL-native factor and indicator computation,niche project footprint,yes,R005,"Repo verifies DuckDB-first financial analytics functions",none
vegas,https://github.com/davidstyers/vegas,quant_backtesting,medium,UNVERIFIED,Python,3,4,1,1,2,3,event-driven simulation callbacks,smaller ecosystem,partial,R006,"Project description indicates event-driven backtesting",none
FINOS Legend Studio,https://github.com/finos/legend-studio,finos,high,Apache-2.0,TypeScript+Java,5,1,3,1,5,4,semantic model governance and shared vocabularies,heavy enterprise footprint,yes,R009,"Legend docs and repo positioning are explicit on modeling/governance",none
FINOS Morphir,https://github.com/finos/morphir,finos,medium,Apache-2.0,Rust+Python+TS,4,1,2,2,4,4,business logic as portable intermediate representation,adoption complexity,yes,R010,"Morphir README describes business logic as data and IR",none
FINOS Waltz,https://github.com/finos/waltz,finos,high,Apache-2.0,Java+Web,4,1,3,1,5,4,architecture inventory and impact mapping,not a simulation engine,yes,R011,"Waltz purpose explicitly architecture landscape mapping",none
FINOS FDC3,https://github.com/finos/FDC3,finos,high,Apache-2.0,TypeScript,2,1,4,1,3,4,desktop interoperability contracts,depends on ecosystem adoption,partial,R012,"FDC3 standard and repo define context/intents interoperability",none
FINOS Perspective,https://github.com/finos/perspective,finos,high,Apache-2.0,C+++Rust+TS,4,1,5,1,3,4,high-performance streaming table/chart component,integration complexity,yes,R016,"Perspective docs and repo describe streaming analytics rendering",none
GS Quant,https://github.com/goldmansachs/gs-quant,banks,high,Apache-2.0,Python,4,3,2,2,3,4,institutional client API conventions,platform access boundaries,partial,R017,"Repo confirms official institutional toolkit",inferred simulation quality
JPMorgan org,https://github.com/jpmorganchase,banks,high,UNVERIFIED,multi,3,2,1,1,3,3,institutional OSS governance patterns,not a single cohesive finance platform,partial,R018,"Official org verification only",feature-level claims not validated
Capital One org,https://github.com/capitalone,banks,high,UNVERIFIED,multi,4,1,1,1,3,3,data-quality tooling references,not trading-research focused,partial,R023,"Official org and related data tooling references validated",feature depth inferred
Barclays research_data_science,https://github.com/Barclays/research_data_science,banks,medium,Apache-2.0,Python,4,1,1,1,2,3,data access abstraction for alt data,limited scope,partial,R036,"Repo existence and domain intent validated",testing depth unsupported
RBC org,https://github.com/RBC,banks,medium,UNVERIFIED,multi,2,1,1,1,2,2,verification that Canadian bank OSS presence exists,relevance to stock-research app is indirect,partial,R025,"Official org and public repos verified",specific project capabilities unsupported
NASA-PDS validate,https://github.com/NASA-PDS/validate,nasa_labs,high,Apache-2.0,Java,5,1,1,1,5,5,strict machine-readable validation gate,domain adaptation needed,yes,R049,"Repository and changelog document validation behavior",none
ORNL flowcept,https://github.com/ORNL/flowcept,nasa_labs,medium,MIT,Python,4,1,2,2,5,4,runtime provenance event capture,younger ecosystem,yes,R052,"Repo and docs confirm provenance capture and query workflows",none
LLNL Merlin,https://github.com/LLNL/merlin,nasa_labs,medium,UNVERIFIED,Python,4,2,1,1,4,4,YAML DAG orchestration at scale,HPC bias in defaults,yes,R106,"README describes DAG orchestration and scalable workflows",none
Sandia vvtest,https://github.com/sandialabs/vvtest,nasa_labs,medium,UNVERIFIED,Python,2,1,1,1,4,5,regression harness design and output modes,CLI-centric UX,yes,R053,"Repo describes verification/regression harness capabilities",none
NASA cFS,https://github.com/nasa/cFS,nasa_labs,high,Apache-2.0,C,3,3,1,1,4,5,modular fault-conscious architecture,overkill for app-level concerns,partial,R103,"README confirms modular framework and mission-level validation posture",none
DGFraud,https://github.com/safe-graph/DGFraud,osint_fraud,medium,UNVERIFIED,Python,3,2,1,3,3,3,graph-based anomaly/risk detection,domain transfer from fraud to microcap signals,yes,R110,"Repo is explicit on graph fraud detection methods",none
AnoScout,https://github.com/julian-rakuschek/AnoScout,osint_fraud,medium,UNVERIFIED,Python+TS,3,2,4,2,3,3,interactive anomaly triage workflows,not finance-specific,yes,R111,"Project purpose is anomaly exploration dashboard",none
Timesketch,https://github.com/google/timesketch,osint_fraud,high,Apache-2.0,Python+JS,3,1,3,1,5,4,timeline-first evidence review and annotation,heavy deployment footprint,yes,R116,"Repo explicitly targets collaborative forensic timeline analysis",none
OpenCTI entity docs,https://github.com/OpenCTI-Platform/docs/blob/main/docs/usage/exploring-entities.md,osint_fraud,high,UNVERIFIED,docs,3,1,2,1,4,3,entity graph and dedup modeling,documentation not implementation benchmark,partial,R117,"Official docs show entity framework and relationships",implementation performance unsupported
PyRCA,https://github.com/salesforce/PyRCA,outside_validation,medium,UNVERIFIED,Python,3,2,1,3,3,3,root-cause analysis pipeline methods,microservices focus,yes,R119,"Repo purpose and methods confirm RCA utility",none
insurance-evt,https://github.com/burning-cost/insurance-evt,outside_validation,medium,UNVERIFIED,Python,3,1,1,1,2,3,tail-risk EVT features for downside flags,insurance-specific assumptions,yes,R121,"Repo states EVT tail modeling capabilities",none
nci/scores,https://github.com/nci/scores,outside_validation,high,Apache-2.0,Python,4,1,1,1,4,4,forecast verification skill-score metrics,needs finance mapping layer,yes,R122,"Package scope confirms broad verification metrics",none
ABIDES,https://github.com/abides-sim/abides,quant_backtesting,high,BSD-3-Clause,Python,4,5,1,3,3,4,high-fidelity agent-based market simulation patterns,complexity and setup overhead,yes,R123,"README and wiki describe multi-agent discrete-event market simulation",none
ABIDES JPMC Public,https://github.com/jpmorganchase/abides-jpmc-public,quant_backtesting,medium,UNVERIFIED,Python+Notebook,3,4,1,4,2,3,ABIDES-Markets and ABIDES-Gym extension patterns,repository archived and notebook-heavy,partial,R124,"Repo overview and changelog context confirm ABIDES components",none
BackDash,https://github.com/sajalkmr/backdash,quant_backtesting,medium,MIT,FastAPI+React,3,4,4,2,3,3,strategy builder plus async job orchestration,limited production evidence,yes,R125,"Repository README describes event-driven backtesting and stack",none
QuantDash (reverified),https://github.com/jakobildstad/quantdash,quant_backtesting,medium,UNVERIFIED,FastAPI+React,3,3,4,2,2,2,clean API+UI decomposition for educational lab,small project maturity,partial,R126,"Repository metadata and README support architecture claims",none
BatesStocks,https://github.com/wtbates99/stock-indicators,quant_backtesting,medium,UNVERIFIED,FastAPI+React,3,2,4,2,2,2,indicator-rich dashboard and screening flow,feature claims require local run validation,partial,R127,"Repository description and docs list indicators and views",none
Vibe-Trading,https://github.com/bxrbcn/Vibe-Trading,quant_backtesting,medium,UNVERIFIED,Python+TypeScript,3,2,3,5,2,2,multi-agent orchestration and workflow presets,risk of over-automation and weak reproducibility,partial,R129,"Repository summary confirms multi-agent orientation",inferred operational robustness
Owlculus,https://github.com/be0vlk/owlculus,osint_fraud,medium,UNVERIFIED,Python+Vue,3,1,4,2,4,3,case and evidence management workflow,young project and limited long-term proof,yes,R133,"Repository summary explicitly states case management features",none
GHOST-osint-crm,https://github.com/elm1nst3r/GHOST-osint-crm,osint_fraud,medium,UNVERIFIED,JavaScript,3,1,4,2,3,2,entity relationship visualization in investigation CRM,recency and stability risk,yes,R134,"Repository summary indicates OSINT CRM and graph relations",none
Flowintel CM,https://github.com/flowintel/flowintel-cm,osint_fraud,medium,UNVERIFIED,Python+JS,3,1,3,1,4,3,audit logging and task lifecycle for analyst workflows,non-finance domain adaptation needed,yes,R135,"Repository details mention case/task management and audit logging",none
DerwenAI Strwythura,https://github.com/DerwenAI/strwythura,knowledge_graph,medium,MIT,Python,4,1,3,3,4,3,entity-resolved ontology pipeline patterns,tutorial-centric implementation,yes,R136,"README and release docs describe entity-resolved KG workflow",none
DerwenAI ERKG,https://github.com/DerwenAI/ERKG,knowledge_graph,medium,MIT,Python+Neo4j,4,1,3,2,4,3,Senzing plus Neo4j ERKG integration pattern,dataset-specific tutorial scope,yes,R137,"Repository explicitly demonstrates Senzing and Neo4j integration",none
Neo4j entity-resolution example,https://github.com/neo4j-graph-examples/entity-resolution,knowledge_graph,medium,UNVERIFIED,Cypher+Neo4j,4,1,2,1,3,3,record linkage patterns for deduplication graphs,example-scale not production reference,yes,R138,"Repository is official Neo4j graph example for entity resolution",none
KBpedia,https://github.com/Cognonto/kbpedia,knowledge_graph,medium,CC-BY-4.0,OWL ontology,5,1,1,1,3,3,large ontology and concept hierarchy for normalized vocabularies,older maintenance cadence,partial,R139,"Repository metadata documents ontology scope and linkage",none
RahulNYK knowledge_graph,https://github.com/rahulnyk/knowledge_graph,knowledge_graph,medium,MIT,Notebook+Python,3,1,3,4,2,2,text-to-graph extraction prototyping,not an enterprise evidence platform,partial,R140,"README and notebooks support text-to-graph workflow claim",none
FSSprob,https://github.com/wolfgruber/FSSprob,outside_validation,medium,UNVERIFIED,Python+Fortran,3,1,1,1,3,3,probabilistic fractions skill score methods,narrow domain focus,yes,R145,"Repository description confirms probabilistic FSS computation",none
properscoring,https://github.com/properscoring/properscoring,outside_validation,medium,Apache-2.0,Python,3,1,1,1,3,3,proper scoring rules CRPS and Brier for probabilistic checks,maintenance cadence slower,yes,R146,"Repository README and package metadata confirm scoring functions",none
xskillscore,https://github.com/xarray-contrib/xskillscore,outside_validation,high,Apache-2.0,Python,4,1,1,1,4,4,xarray-native forecast verification metrics,requires xarray data-model fit,yes,R147,"Repository docs clearly list deterministic/probabilistic metrics",none
pycontrolcharts,https://github.com/suanto/pycontrolcharts,outside_validation,medium,UNVERIFIED,Python,3,1,2,1,3,3,SPC process stability checks for pipeline quality,industry adaptation needed,yes,R148,"Repository summary confirms Shewhart/SPC chart support",none
Evidently,https://github.com/evidentlyai/evidently,mlops_lineage,high,Apache-2.0,Python,4,1,3,4,4,4,drift and quality monitoring for data and LLM systems,monitoring can be over-scoped without clear thresholds,yes,R149,"README and docs confirm monitoring and test-suite workflow",none
Dagster lineage docs,https://github.com/dagster-io/dagster/blob/master/docs/docs/guides/build/assets/asset-selection-syntax/index.md,mlops_lineage,high,Apache-2.0,Python,5,1,4,2,5,4,asset graph lineage and dependency selection,requires orchestration discipline to avoid complexity,yes,R150,"Official docs explicitly describe lineage graph operations",none
Great Expectations,https://github.com/great-expectations/great_expectations,mlops_lineage,high,Apache-2.0,Python,5,1,2,1,5,4,data contracts as executable expectations,authoring overhead for comprehensive suites,yes,R151,"Repository and docs define Expectations as data tests",none
DVC,https://github.com/iterative/dvc,mlops_lineage,high,Apache-2.0,Python,5,1,2,1,5,5,versioned data and pipeline reproducibility,learning curve and storage coordination overhead,yes,R152,"Repository and docs describe data pipeline versioning",none
MLflow,https://github.com/MLflow/MLflow,mlops_lineage,high,Apache-2.0,Python+TypeScript,4,2,3,3,5,4,experiment run tracking and comparison,requires metadata hygiene and governance,yes,R153,"Repository and tracking docs confirm logging APIs and UI",none
OpenLineage,https://github.com/OpenLineage/OpenLineage,mlops_lineage,high,Apache-2.0,multi,4,1,1,1,5,4,open lineage event schema standardization,integration effort across tools,yes,R154,"Specification file defines run/job/dataset/facet model",none
Marquez,https://github.com/MarquezProject/marquez,mlops_lineage,high,Apache-2.0,Java+TypeScript,4,1,3,1,5,4,metadata lineage service and visualization patterns,additional infra service complexity,yes,R155,"Repository README describes metadata and lineage service",none
Prefect,https://github.com/PrefectHQ/prefect,mlops_lineage,high,Apache-2.0,Python,4,1,3,2,4,4,Python-native orchestration with scheduler and UI,cloud vs self-hosted ops choices,yes,R059,"Prefect README describes flows tasks server monitoring",none
Dagster monorepo,https://github.com/dagster-io/dagster,mlops_lineage,high,Apache-2.0,Python,5,1,4,2,5,4,asset-centric lineage and testing hooks,operational learning curve,yes,R060,"Dagster package README emphasizes assets lineage observability",none
dbt Core,https://github.com/dbt-labs/dbt-core,mlops_lineage,high,Apache-2.0,Python+SQL,4,1,2,1,4,4,SQL-first transforms with tests and DAG docs,warehouse-centric not embedded OLAP,yes,R063,"dbt README covers models refs tests lineage",none
DuckDB engine,https://github.com/duckdb/duckdb,mlops_lineage,high,MIT,C++,5,1,2,1,3,5,embedded OLAP over Parquet CSV files,not a metadata catalog alone,yes,R064,"DuckDB README lists analytical SQL and file readers",none
DataHub,https://github.com/datahub-project/datahub,mlops_lineage,high,Apache-2.0,multi,5,1,3,2,5,4,enterprise catalog lineage facets,multi-service deployment,yes,R065,"DataHub README positions AI data catalog",none
Feast,https://github.com/feast-dev/feast,mlops_lineage,high,Apache-2.0,Python,4,1,3,2,4,4,point-in-time feature joins multi-store,infra for online stores,yes,R066,"Feast README describes offline online stores training joins",none
Dedupe,https://github.com/dedupeio/dedupe,osint_fraud,high,MIT,Python,3,1,2,2,3,3,trainable entity resolution for structured rows,needs labeled examples,yes,R068,"Dedupe README states ML dedupe and entity resolution",none
PyOD,https://github.com/yzhao062/pyod,osint_fraud,high,BSD-2-Clause,Python,4,2,2,3,3,4,broad anomaly detector zoo,many algorithms require tuning,yes,R069,"PyOD README brands scalable outlier detection",none
Orion,https://github.com/sintel-dev/Orion,osint_fraud,medium,MIT,Python,3,3,2,2,3,4,benchmarked TSAD pipelines,MIT lab maturity pre-alpha noted,yes,R070,"Orion README defines unsupervised TSAD scope",none
Sigma rules,https://github.com/SigmaHQ/sigma,osint_fraud,high,DRL 1.1,YAML,3,1,2,1,4,4,portable detection rule corpus,rule maintenance burden,yes,R071,"Sigma README describes generic SIEM signatures",none
TheHive,https://github.com/TheHive-Project/TheHive,osint_fraud,high,AGPL-3.0,Scala,3,1,3,2,5,3,case workflow for alerts and observables,heavy stack Elastic dependency,yes,R072,"TheHive README covers cases alerts MISP",none
Velociraptor,https://github.com/Velocidex/velociraptor,osint_fraud,high,AGPL-3.0,Go,3,1,3,1,4,4,VQL endpoint evidence collection,endpoint IR scope not finance-native,yes,R073,"Velociraptor README defines VQL collection",none
statsmodels,https://github.com/statsmodels/statsmodels,outside_validation,high,BSD-3-Clause,Python,4,2,2,1,4,4,statistical inference tests time series,broad stats not finance-specific,yes,R076,"statsmodels README lists tests diagnostics TS models",none
Apache Tika,https://github.com/apache/tika,outside_validation,high,Apache-2.0,Java,4,1,1,1,3,4,text metadata extraction from documents,Java service operational overhead,yes,R077,"Tika README defines extraction toolkit",none
OHDSI WebAPI,https://github.com/OHDSI/WebAPI,outside_validation,high,Apache-2.0,Java,4,2,2,1,4,4,cohort DSL over OMOP for reproducible populations,healthcare domain assumptions,yes,R078,"WebAPI README lists cohort characterization estimation",none
industrial_ci,https://github.com/ros-industrial/industrial_ci,outside_validation,high,Apache-2.0,Bash,3,4,1,1,3,5,reusable CI harness with prerelease tests,robotics-focused not finance,yes,R079,"industrial_ci README documents ROS CI scripts",none
Epiabm,https://github.com/SABS-R3-Epidemiology/epiabm,outside_validation,medium,UNVERIFIED,multi,3,4,1,1,3,4,agent simulation reproducibility seeds,epidemiology domain metaphor,yes,R080,"epiabm README describes SEIR spatial workflows",none
pandas-profiling,https://github.com/ydataai/pandas-profiling,outside_validation,high,MIT,Python,4,1,3,1,4,4,HTML QC profiling alerts automation,package rename migration overhead,yes,R081,"pandas-profiling README describes ProfileReport QC alerts",none
erddapy,https://github.com/ioos/erddapy,nasa_labs,high,BSD-3-Clause,Python,4,1,2,1,4,4,ERDDAP client for NOAA servers,oceanographic domain defaults,yes,R082,"erddapy README references NOAA ERDDAP endpoints",none
dataretrieval,https://github.com/USGS-python/dataretrieval,nasa_labs,high,CC0-1.0,Python,4,1,2,1,4,4,reproducible federal hydrology API pulls,hydrology not equities,yes,R083,"dataretrieval README documents Water Data APIs",none
REANA,https://github.com/reanahub/reana,nasa_labs,high,MIT,Python,4,3,2,2,5,5,containerized reproducible workflows on K8s,purpose-built for science clusters,yes,R084,"reana README describes reusable physics analyses",none
